filename,edinet_code,symbol,filing_date_parsed,status,token_count,pos_count,neg_count,pos_rate,neg_rate,lmmd_net
S100IXSG_1.xbrl,E04090,9005.T,2020-06-26,ok,5482,64,47,0.011674571324334184,0.008573513316307917,0.003101058008026268
S100LQ75_1.xbrl,E04090,9005.T,2021-06-29,ok,4926,55,68,0.011165245635403978,0.013804303694681283,-0.002639058059277304
S100OIH8_1.xbrl,E04090,9005.T,2022-06-29,ok,5831,81,57,0.013891270794031898,0.009775338706911336,0.004115932087120563
S100DHC7_1.xbrl,E04088,9007.T,2018-06-28,ok,4718,65,26,0.01377702416278084,0.005510809665112336,0.008266214497668503
S100GBDX_1.xbrl,E04088,9007.T,2019-06-27,ok,4153,48,27,0.011557909944618349,0.006501324343847821,0.005056585600770528
S100J24N_1.xbrl,E04088,9007.T,2020-06-26,ok,4371,54,32,0.012354152367879203,0.0073209791809654545,0.005033173186913749
S100LTWH_1.xbrl,E04088,9007.T,2021-06-29,ok,4147,41,46,0.009886665059078852,0.011092355919942128,-0.0012056908608632747
S100OJ1L_1.xbrl,E04088,9007.T,2022-06-29,ok,4184,55,34,0.013145315487571701,0.008126195028680689,0.005019120458891013
S100DHEM_1.xbrl,E04092,9008.T,2018-06-28,ok,5308,63,15,0.01186887716654107,0.002825923134890731,0.00904295403165034
S100G4K8_1.xbrl,E04092,9008.T,2019-06-27,ok,5344,61,19,0.011414670658682635,0.003555389221556886,0.007859281437125748
S100IWRF_1.xbrl,E04092,9008.T,2020-06-26,ok,5663,62,32,0.010948260639237154,0.005650715168638531,0.005297545470598622
S100LTMW_1.xbrl,E04092,9008.T,2021-06-29,ok,6150,58,51,0.00943089430894309,0.008292682926829269,0.0011382113821138211
S100OINV_1.xbrl,E04092,9008.T,2022-06-29,ok,6337,70,46,0.011046236389458734,0.007258955341644311,0.0037872810478144234
S100CZXJ_1.xbrl,E04091,9009.T,2018-06-28,ok,3162,50,3,0.015812776723592662,0.0009487666034155598,0.014864010120177103
S100GABZ_1.xbrl,E04091,9009.T,2019-06-27,ok,3388,60,0,0.01770956316410862,0.0,0.01770956316410862
S100IUTI_1.xbrl,E04091,9009.T,2020-06-26,ok,5029,51,16,0.010141181149333864,0.0031815470272419963,0.006959634122091867
S100LLIX_1.xbrl,E04091,9009.T,2021-06-29,ok,4829,41,22,0.008490370677158831,0.004555808656036446,0.003934562021122386
S100OELJ_1.xbrl,E04091,9009.T,2022-06-29,ok,4695,50,28,0.010649627263045794,0.005963791267305644,0.004685835995740149
S100D93U_1.xbrl,E04147,9020.T,2018-06-22,ok,7989,67,43,0.00838653148078608,0.005382400801101515,0.0030041306796845663
S100G3GY_1.xbrl,E04147,9020.T,2019-06-21,ok,8707,81,41,0.009302859768002757,0.004708854944297691,0.004594004823705065
S100IWJW_1.xbrl,E04147,9020.T,2020-06-23,ok,10407,80,65,0.007687133660036514,0.006245796098779667,0.0014413375612568463
S100LIXH_1.xbrl,E04147,9020.T,2021-06-22,ok,9979,73,66,0.00731536226074757,0.006613889167251227,0.0007014730934963423
S100OA8T_1.xbrl,E04147,9020.T,2022-06-22,ok,7839,59,65,0.007526470213037377,0.008291873963515755,-0.0007654037504783774
S100D8DH_1.xbrl,E04148,9021.T,2018-06-22,ok,7991,79,50,0.009886121887123013,0.006257039169065198,0.003629082718057815
S100G3K1_1.xbrl,E04148,9021.T,2019-06-21,ok,8096,93,73,0.011487154150197628,0.009016798418972332,0.0024703557312252965
S100IUTK_1.xbrl,E04148,9021.T,2020-06-24,ok,6638,72,49,0.01084664055438385,0.0073817414884001205,0.00346489906598373
S100LO2J_1.xbrl,E04148,9021.T,2021-06-24,ok,6270,43,65,0.006858054226475279,0.01036682615629984,-0.0035087719298245615
S100OFLP_1.xbrl,E04148,9021.T,2022-06-24,ok,6155,60,40,0.00974817221770918,0.006498781478472786,0.003249390739236393
S100D909_1.xbrl,E04149,9022.T,2018-06-22,ok,4528,43,29,0.009496466431095406,0.006404593639575972,0.0030918727915194345
S100G233_1.xbrl,E04149,9022.T,2019-06-21,ok,4174,48,26,0.011499760421657882,0.006229036895064686,0.005270723526593196
S100IW1D_1.xbrl,E04149,9022.T,2020-06-23,ok,4698,53,31,0.011281396338867603,0.00659855257556407,0.004682843763303533
S100LMCH_1.xbrl,E04149,9022.T,2021-06-23,ok,4944,42,51,0.00849514563106796,0.010315533980582525,-0.0018203883495145632
S100OC2F_1.xbrl,E04149,9022.T,2022-06-23,ok,5250,58,48,0.011047619047619047,0.009142857142857144,0.0019047619047619048
S100D9G0_1.xbrl,E04187,9064.T,2018-06-22,ok,7573,88,42,0.011620229763633963,0.0055460187508253,0.0060742110128086625
S100G06O_1.xbrl,E04187,9064.T,2019-06-21,ok,7828,87,78,0.01111394992335207,0.009964230965763925,0.0011497189575881452
S100LK4W_1.xbrl,E04187,9064.T,2021-06-18,ok,8854,114,77,0.012875536480686695,0.008696634289586627,0.004178902191100068
S100O90Q_1.xbrl,E04187,9064.T,2022-06-17,ok,7377,89,60,0.012064524874610275,0.008133387555917039,0.003931137318693235
S100D7VU_1.xbrl,E04235,9101.T,2018-06-20,ok,4781,51,38,0.010667224430035557,0.00794812800669316,0.002719096423342397
S100G1WR_1.xbrl,E04235,9101.T,2019-06-19,ok,5143,41,55,0.007972000777756174,0.010694147384794867,-0.0027221466070386936
