Ticker,alpha,beta
1332.T,0.00013245824821877421,0.7882421094597043
1605.T,0.00032709704015489356,1.078165200320154
1721.T,0.00027912672065050713,0.7726671546053977
1801.T,0.0003597305682211187,0.8776110933373242
1802.T,0.00026105067914720644,0.9235707977109125
1803.T,0.0002440934446548762,0.8827158912798461
1808.T,0.0002368021430602841,0.916758348243689
1812.T,0.0004164437430377454,0.96229362750594
1925.T,7.4869034015886e-05,0.9692245524635628
1928.T,0.00013096196323156815,0.9077508993245486
1963.T,-0.0001597259139228675,1.142553980510404
2002.T,-9.004117292374822e-05,0.664936667906556
2269.T,-0.00018389427758795494,0.42593755959094637
2282.T,7.205094758133595e-05,0.5896885149652986
2413.T,0.00024352400272383028,0.9368407450872093
2432.T,0.00013275540960919495,0.774292808611217
2501.T,0.00035626171203429114,0.7262287666081937
2502.T,6.139161681851439e-05,0.7983895309296348
2503.T,8.630612268647656e-05,0.6612833694395666
2768.T,0.000398236739625166,1.0611042811029685
2801.T,3.0455869518759653e-05,1.0334525335921434
2802.T,0.0003942961080406688,0.6769092176781792
2871.T,0.0003195376025656805,0.429755521578284
2914.T,9.061916466952363e-05,0.6622243821772974
3086.T,0.00010356115290322161,1.0846105952717957
3092.T,0.0005816419841751123,0.7454196379970646
3099.T,0.0001133527910176593,1.1288258694615727
3289.T,7.463595016211569e-05,1.1580484630506525
3382.T,-5.690619669708919e-06,0.7335384052719449
3401.T,-0.00027368104613093014,0.8957946730149187
3402.T,-0.00020217406520052549,1.0106556683472658
3405.T,-3.371290825334106e-05,1.025027705590346
3407.T,4.801007574161385e-05,1.033441581878167
3436.T,0.00022719850529623168,1.3620766412162704
3659.T,0.0005299619635315187,0.8763903012387197
3697.T,0.0015231003913091891,1.0114656062312255
3861.T,0.00013102505115924372,0.8421162232409276
4004.T,0.0005267540658101854,1.2545836304703226
4005.T,-0.0002475283452526441,1.1046278383329917
4021.T,0.000183666973321459,0.9758751213302889
4042.T,0.00018324835404642608,1.0480767684205916
4043.T,0.00042997217228705207,1.0686840562408655
4061.T,-0.00012041912282945052,1.056693088168325
4063.T,0.0003750217357261877,1.2081354915397258
4151.T,2.8079231524374786e-05,0.7807377556034024
4183.T,3.888028486051347e-05,1.1494384525094186
4188.T,-4.808172099935533e-05,1.0845056337083723
4208.T,-0.00011930619697711313,1.0241029850585472
4307.T,0.0005196677999801959,0.8272582592768366
4324.T,-0.0003884557203690225,1.0625206548411776
4385.T,-0.00040459037741081205,1.1127010102903512
4452.T,-3.6556916500282195e-05,0.6140613852861155
4502.T,-0.0001194759488375404,0.6966059670947055
4503.T,-4.921784874557935e-05,0.7537172828177859
4506.T,0.00018377002853275432,0.9418983676830796
4507.T,7.225698759074907e-05,0.7713306084157515
4519.T,0.0006630851172477449,0.765646326889407
4523.T,-0.00015502011861888692,0.8199197091590616
4543.T,0.0002480301585442123,0.9556329855491726
4568.T,0.0006293218723320193,0.9315633338034918
