Ticker,filing_date,alpha,beta
4151.T,2018-03-16,0.001826552761167198,1.16228272584024
4519.T,2018-03-22,0.0012818698956454481,1.2075786544508638
3405.T,2018-03-23,-0.0013733928088608314,1.2436807732992254
4452.T,2018-03-23,0.0015969644075366598,0.8885210938613688
5108.T,2018-03-23,-0.0008374306237498869,0.9734846651838118
6326.T,2018-03-23,-0.0008187054501321237,1.0119202758308894
7272.T,2018-03-26,-0.0002458791805411247,1.0877718256826696
2914.T,2018-03-27,-0.0018837264994564808,0.47820392221836927
4704.T,2018-03-27,0.0005372444437777742,1.4447541325420579
4911.T,2018-03-27,0.0034794876467268963,0.7159113114683692
2502.T,2018-03-28,0.0015830893180329613,0.8639269265491045
3436.T,2018-03-28,0.004462708496305192,1.3248349917137712
3659.T,2018-03-28,0.002942006154062302,0.671344106770478
8804.T,2018-03-28,0.0014069480941030195,0.8201946173597143
2503.T,2018-03-29,8.23406788776431e-05,1.0482795000400145
4004.T,2018-03-29,0.0035697057880846633,1.2925320358727077
4324.T,2018-03-29,-0.00011388564852498356,0.5720161471807919
4755.T,2018-03-29,-0.0024066144938435048,0.5446319370883071
5101.T,2018-03-29,0.0008452418513617348,1.234632381768765
5201.T,2018-03-29,3.9617549181814645e-05,1.2513960360061043
5301.T,2018-03-29,0.005736456274188011,1.0379175869761825
6361.T,2018-03-29,7.174570626890546e-05,1.3849371524288219
6723.T,2018-03-29,-0.0002662429791072912,1.1245389784952937
7751.T,2018-03-29,0.00039200797481288004,0.8246711874583253
2501.T,2018-03-30,-0.00017747669536109767,0.8017024993678724
4578.T,2018-03-30,0.0016171380313900925,0.7385167271606998
5214.T,2018-03-30,-0.003234994375076802,1.4906292840535758
1928.T,2018-04-27,-0.00037249115413556046,0.8872019770888496
9843.T,2018-05-18,0.0012267591015108152,0.25022927585945226
7453.T,2018-05-24,0.0009966343578790187,0.6921826518206327
8233.T,2018-05-24,-0.0007698297972465801,0.7575540501590575
8267.T,2018-05-24,0.0022552207822696866,0.7468771151455844
3382.T,2018-05-25,0.0008343713298996051,0.5776369024148591
3086.T,2018-05-28,0.00027619347436787196,1.0400245187719541
6506.T,2018-05-30,-0.0012796262567464707,1.4836342056908502
9602.T,2018-05-30,0.00018201092888609706,0.9576091766621881
6532.T,2018-05-31,0.0046735677449499325,1.4096838696765668
7741.T,2018-06-08,0.0012689058363294942,1.0590694826789557
8697.T,2018-06-13,0.0006846286858075634,0.9487675873751402
6861.T,2018-06-14,0.0008326037509158049,1.1647967564394517
4503.T,2018-06-15,0.0016374200757611193,0.7257436735136781
3099.T,2018-06-18,0.0002170494855477698,1.0122699810136688
4568.T,2018-06-18,0.003335345952615999,0.8301788013449157
4689.T,2018-06-18,-0.0019501071150831361,0.6296434974400151
6301.T,2018-06-18,-3.737200892323252e-06,1.3836495346509619
7832.T,2018-06-18,0.0017162910489202775,0.7406253272909815
2768.T,2018-06-19,0.00287664438764191,0.9717630926066244
4506.T,2018-06-19,0.0028591293961463295,0.798038757253561
6758.T,2018-06-19,0.00046872864341882117,1.0003721969684483
8035.T,2018-06-19,0.0001952611017829812,1.3252468960848556
3401.T,2018-06-20,-0.0011207539522020346,0.9442514154625975
4507.T,2018-06-20,-0.000778520336967211,1.2096758329916535
4523.T,2018-06-20,0.0016877793324084054,0.953605130321548
4902.T,2018-06-20,-2.3430926113224016e-05,0.9654020714819584
6098.T,2018-06-20,0.0011754864473289945,1.302574697455105
6645.T,2018-06-20,-0.000464264841801504,1.4517917815014258
6902.T,2018-06-20,-0.00101294285750072,1.1934119806608623
7186.T,2018-06-20,-0.0006821717721322942,1.3440539456479057
7267.T,2018-06-20,-0.00028112392680489334,1.1050453761994574
8253.T,2018-06-20,-0.00031683684283803854,1.3058684317794909
9101.T,2018-06-20,-0.0010319956645273222,1.1144794295765603
9201.T,2018-06-20,-0.0003160759335338048,0.45509598332987855
4005.T,2018-06-21,-0.0017204299765398489,1.3822301382032953
4061.T,2018-06-21,4.3792816620136005e-05,1.408507348721581
5406.T,2018-06-21,0.0014524052833834755,1.0618408789263305
5411.T,2018-06-21,-0.0008256714663876109,1.0349434311606196
6594.T,2018-06-21,0.0012084887687858789,1.1479055950640156
6753.T,2018-06-21,-0.0016271794731389543,0.9763304364775918
7011.T,2018-06-21,0.0004308268265589604,0.887107898018893
8015.T,2018-06-21,-0.0005568987730241455,1.4812222632975012
8031.T,2018-06-21,0.0014186767503891586,0.8958340277580328
9107.T,2018-06-21,-0.0014052853314915597,0.5687104577901811
9433.T,2018-06-21,0.0008502991864561119,0.7480814564446929
9984.T,2018-06-21,-0.0006947744723980782,1.0971661405185178
5711.T,2018-06-22,-0.0018288337966938613,1.0170570808749004
5801.T,2018-06-22,-0.0017481840282880187,1.2837413822732293
6471.T,2018-06-22,-0.0023760812871708612,1.5253059322246425
6770.T,2018-06-22,-0.001833900892371826,1.0430847726247197
6988.T,2018-06-22,-0.0010553084881991812,1.21276233154581
7013.T,2018-06-22,0.0013168842141755871,0.8998015875799322
7211.T,2018-06-22,0.0007770278787391693,0.8160555966184856
8001.T,2018-06-22,0.0005480976381543993,0.9418544814397088
8002.T,2018-06-22,0.001043582913855166,0.8791492992034599
8053.T,2018-06-22,0.00038659061956245643,1.017022546912096
8058.T,2018-06-22,0.0006240433902193243,1.0145055815408903
8766.T,2018-06-22,0.0007443507009450184,0.9491448796139714
9001.T,2018-06-22,-0.00037904619738973375,0.8136520551780958
9020.T,2018-06-22,1.266869214325934e-06,0.6622155797746547
9021.T,2018-06-22,-0.00011707865829026427,0.5442195934990557
9022.T,2018-06-22,0.0013771347447293389,0.7015804567912279
9064.T,2018-06-22,0.003442765447210754,0.4686082363648738
2432.T,2018-06-25,-0.00035296801529570855,0.9369477701941187
4043.T,2018-06-25,0.001956780291504092,1.6357621368502768
4543.T,2018-06-25,0.0022889753004069987,1.1392193066625451
6701.T,2018-06-25,0.0001914129601963915,0.5059872666243261
6702.T,2018-06-25,-0.0011443502738567402,0.7346262825005524
7203.T,2018-06-25,0.000221055321007316,0.9781008923286613
7270.T,2018-06-25,0.0002210568429027792,0.6510698841693606
8252.T,2018-06-25,0.0017339616430317873,1.0357689782155493
8725.T,2018-06-25,-0.00029310475153087066,0.7556022481775402
1721.T,2018-06-26,-0.0005675262913452783,1.106778480699456
2801.T,2018-06-26,0.0012974730350597725,1.240231415385233
2802.T,2018-06-26,6.427156936457396e-05,0.619015272379912
2871.T,2018-06-26,-0.00022569691724528429,1.0405156423548536
3402.T,2018-06-26,-0.001147828224715535,0.801378252141261
4183.T,2018-06-26,-0.0006866748548199943,1.0428261004621688
4188.T,2018-06-26,-0.0014571952156454385,1.1957467901066938
5333.T,2018-06-26,0.00015191481957778182,1.1423179873533642
5401.T,2018-06-26,-0.0013888888843034334,1.0360013132972896
5713.T,2018-06-26,-0.0007183101159996064,1.1914394967617752
5714.T,2018-06-26,-0.0016043435896027185,1.1422267500993104
6103.T,2018-06-26,-0.0009659032946518522,1.6305772392793452
6305.T,2018-06-26,0.0008521898243572297,1.3810458580505642
6504.T,2018-06-26,0.00014764478908286898,1.5481932131669247
6841.T,2018-06-26,-0.0002197143928984466,1.510655253764827
6971.T,2018-06-26,-0.0004638872064360776,1.2932533551226089
7205.T,2018-06-26,-0.0010317955282032184,1.1498757473836785
7733.T,2018-06-26,-0.0007750343673504035,0.9791435071525606
7951.T,2018-06-26,0.003942690674040272,1.034491209829809
8308.T,2018-06-26,-0.000463586468992574,1.002404161190523
9104.T,2018-06-26,-0.0018595598626173755,0.9942191131695921
9735.T,2018-06-26,8.064855322148523e-05,1.0499596184185123
1332.T,2018-06-27,-0.0008659746482017351,0.7850595328384802
1605.T,2018-06-27,-0.0007628883629340442,1.1369685143430177
1802.T,2018-06-27,-0.0013960774051403266,1.0985941392091527
1812.T,2018-06-27,-0.0012146706743386077,1.045922285454693
2002.T,2018-06-27,0.00045029950058028353,0.9544971248816927
2282.T,2018-06-27,-0.0015079454230359514,0.7188665406723749
