Ticker,EventDate,Sentiment,CAR
4151.T,2018-03-16,0.0097442143727162,0.020958287304833102
4151.T,2019-03-14,0.0070215545395166,0.0371109750916187
4151.T,2020-03-12,0.0070381231671554,-0.1435432021938042
4151.T,2021-03-09,0.0080733944954128,0.005750821471247556
4151.T,2022-03-08,0.0068027210884353,-0.010512370738132845
4151.T,2023-03-09,0.0069385682856659,0.007062090247524224
4502.T,2018-06-28,0.0179704016913319,0.04390705112741646
4502.T,2019-06-27,0.0134709807377565,-0.00420355867836586
4502.T,2020-06-24,0.0142322097378277,-0.013818853259485115
4502.T,2021-06-29,0.0132680859650892,0.003443516786475303
4502.T,2022-06-29,0.0134930096456052,0.022879179452813612
4503.T,2018-06-15,0.0097087378640776,0.04379136227149383
4503.T,2019-06-18,0.0098091198303287,-0.01716105838460557
4503.T,2020-06-18,0.0072295378259746,0.051251247597564505
4503.T,2021-06-18,0.0089757127771911,0.04543997335780952
4503.T,2022-06-20,0.0077306733167082,0.07221941941378852
4506.T,2018-06-19,0.0090952608903781,0.04881537005648319
4506.T,2019-06-20,0.0160612799604645,-0.03659797952315519
4506.T,2020-06-23,0.0080471050049067,0.029076297502635698
4506.T,2021-06-24,0.0112724907869065,0.02024536292004117
4506.T,2022-06-23,0.0102602602602602,0.04110490214863296
4507.T,2018-06-20,0.0033057851239669,0.004460998823756693
4507.T,2019-06-18,0.0069546120058565,0.018544249520787898
4507.T,2020-06-24,0.0090420332355816,-0.004789186318433822
4507.T,2021-06-23,0.0055987558320373,0.022455082500115117
4507.T,2022-06-24,0.0061387354205033,0.01551938032696612
4519.T,2018-03-22,0.0088495575221238,0.004400337372700249
4519.T,2019-03-28,0.0063485956136975,0.0024008978814263077
4519.T,2020-03-30,0.0063891577928363,0.034635439004261755
4519.T,2021-03-23,0.0068696620868919,-0.02724540942270276
4519.T,2022-03-29,0.0044070512820512,-0.006707007101873625
4519.T,2023-03-30,0.0051509769094138,0.002501512758550848
4523.T,2018-06-20,0.0075642965204236,0.016215669161142365
4523.T,2019-06-20,0.0059790732436472,-0.010587283155208096
4523.T,2020-06-19,0.0050152638464893,0.042008642570865354
4523.T,2021-06-18,0.0061567605967321,0.1326857392472598
4568.T,2018-06-18,0.007886864291542,0.157939729011108
4568.T,2019-06-17,0.0086872586872586,-0.026545750787320327
4568.T,2020-06-15,0.0048151332760103,-0.010031836742173799
4568.T,2021-06-21,0.0065442646791492,-0.056608017239936956
4568.T,2022-06-27,0.0048317823908375,0.08138747494244329
4578.T,2018-03-30,0.0127536231884057,0.01954569032993646
4578.T,2019-03-29,0.0111225188227241,-0.015222623704605372
4578.T,2020-03-30,0.0091473938557128,0.10829433675387969
4578.T,2021-03-31,0.0122901159771507,-0.007271782922918508
4578.T,2022-03-31,0.0077628793225123,0.006529081978969146
4578.T,2023-03-31,0.0092382778455638,0.040566081345404445
6479.T,2018-06-28,0.002357255107386,0.05288725112023347
6479.T,2019-06-27,0.0064708810353409,0.05042892344377127
6479.T,2020-06-26,0.0061811341037355,0.005953113434005848
6479.T,2021-06-29,0.0067567567567567,0.0629199912302382
6479.T,2022-06-29,0.0054711246200607,-0.006340729262820373
6501.T,2018-06-29,0.0113915177006659,-0.005169705538998797
6501.T,2019-06-19,0.0157670191059172,-0.014831506371712629
6501.T,2020-08-31,0.0159804035926746,-0.018648955733782214
6501.T,2021-06-23,0.0143468702996644,0.04459925780511546
6501.T,2022-06-22,0.0125452352231604,-0.03774949782415951
6503.T,2018-06-28,0.0076972418216805,0.007245972180844197
6503.T,2019-06-27,0.0118724559023066,0.03187142982804566
6503.T,2020-06-26,0.013327061774851,0.013475316076174316
6503.T,2021-06-29,0.0167889160554197,-0.09934433202861291
