sentiment_col,window_start,window_end,nobs,beta,se_cluster,p_value,r2
neg_rate,-3,3,1087,-0.0038653477767125266,0.0013166305648847332,0.003327019680718864,0.009067201787750778
neg_rate,-2,2,1087,-0.0031843686641231167,0.001080675037146016,0.0032123891367337606,0.009288046544077444
neg_rate,-1,1,1087,-0.0029974763902839477,0.0008936341855497465,0.0007957916507771567,0.011988442461216997
neg_rate,0,0,1087,-0.001538719245812737,0.00046712387753720757,0.0009876257426071615,0.009209734030396266
neg_rate,0,1,1087,-0.0022556722917808,0.0007528001711564479,0.0027320941588362636,0.010701772169897983
