Ticker,EventDate,Sentiment,CAR
4151.T,2018-03-16,0.0097442143727162,0.014610060857100945
4151.T,2019-03-14,0.0070215545395166,0.03269579815189513
4151.T,2020-03-12,0.0070381231671554,-0.08415564681296502
4151.T,2021-03-09,0.0080733944954128,-0.014680697262752788
4151.T,2022-03-08,0.0068027210884353,0.01569941601386797
4151.T,2023-03-09,0.0069385682856659,0.006174602708884657
4502.T,2018-06-28,0.0179704016913319,0.020928516640283362
4502.T,2019-06-27,0.0134709807377565,0.015997050053486637
4502.T,2020-06-24,0.0142322097378277,-0.011012003095134702
4502.T,2021-06-29,0.0132680859650892,0.008757570569498899
4502.T,2022-06-29,0.0134930096456052,0.02156386133731507
4503.T,2018-06-15,0.0097087378640776,0.02209460191835278
4503.T,2019-06-18,0.0098091198303287,0.010580278879267038
4503.T,2020-06-18,0.0072295378259746,0.011649327828016181
4503.T,2021-06-18,0.0089757127771911,0.03075980091580472
4503.T,2022-06-20,0.0077306733167082,0.061680413433585726
4506.T,2018-06-19,0.0090952608903781,0.009568265696769662
4506.T,2019-06-20,0.0160612799604645,-0.009873304040883216
4506.T,2020-06-23,0.0080471050049067,0.03337177646140596
4506.T,2021-06-24,0.0112724907869065,0.03608326413643418
4506.T,2022-06-23,0.0102602602602602,-0.0037024866314872597
4507.T,2018-06-20,0.0033057851239669,-0.003172956504591563
4507.T,2019-06-18,0.0069546120058565,-0.010855018790235739
4507.T,2020-06-24,0.0090420332355816,-0.0036652725152335613
4507.T,2021-06-23,0.0055987558320373,0.0019505090875228288
4507.T,2022-06-24,0.0061387354205033,0.007695011867524635
4519.T,2018-03-22,0.0088495575221238,-0.009988330916469352
4519.T,2019-03-28,0.0063485956136975,0.021819772653334752
4519.T,2020-03-30,0.0063891577928363,0.08593313589599715
4519.T,2021-03-23,0.0068696620868919,-0.029381312295478166
4519.T,2022-03-29,0.0044070512820512,0.014134362158007589
4519.T,2023-03-30,0.0051509769094138,-0.0293508101287568
4523.T,2018-06-20,0.0075642965204236,-0.001992467389611995
4523.T,2019-06-20,0.0059790732436472,-0.0040311044705691225
4523.T,2020-06-19,0.0050152638464893,-0.0058338728629260045
4523.T,2021-06-18,0.0061567605967321,0.11834393247142586
4568.T,2018-06-18,0.007886864291542,0.11244122723740026
4568.T,2019-06-17,0.0086872586872586,0.014165162811564568
4568.T,2020-06-15,0.0048151332760103,0.022735183408163093
4568.T,2021-06-21,0.0065442646791492,-0.03660846122748057
4568.T,2022-06-27,0.0048317823908375,0.038147439509025834
4578.T,2018-03-30,0.0127536231884057,0.023908727564505346
4578.T,2019-03-29,0.0111225188227241,-0.021969471534361556
4578.T,2020-03-30,0.0091473938557128,0.07732527452316547
4578.T,2021-03-31,0.0122901159771507,-0.009845585502514718
4578.T,2022-03-31,0.0077628793225123,0.018259944225227916
4578.T,2023-03-31,0.0092382778455638,0.012325294256629482
6479.T,2018-06-28,0.002357255107386,0.011133936780512164
6479.T,2019-06-27,0.0064708810353409,0.05901214695334124
6479.T,2020-06-26,0.0061811341037355,-0.0017996029967549884
6479.T,2021-06-29,0.0067567567567567,0.05816319296087889
6479.T,2022-06-29,0.0054711246200607,-0.05450280646147514
6501.T,2018-06-29,0.0113915177006659,0.015670360862846823
6501.T,2019-06-19,0.0157670191059172,-0.02053694206906095
6501.T,2020-08-31,0.0159804035926746,-0.018758464732721802
6501.T,2021-06-23,0.0143468702996644,0.030056199676214805
6501.T,2022-06-22,0.0125452352231604,-0.04475898537122498
6503.T,2018-06-28,0.0076972418216805,0.0021284929066254493
6503.T,2019-06-27,0.0118724559023066,0.032011336578263085
6503.T,2020-06-26,0.013327061774851,0.01932034938475981
6503.T,2021-06-29,0.0167889160554197,-0.09122248230056307
6503.T,2022-06-29,0.0117738187451587,0.007986616493477065
6504.T,2018-06-26,0.0109860664523043,0.0024736951092163392
6504.T,2019-06-25,0.0098091198303287,0.007861275588974995
6504.T,2020-08-06,0.0191131498470948,0.011520341315380017
6504.T,2021-06-25,0.0187693498452012,-0.008501303102318664
6504.T,2022-06-28,0.0142598915444868,0.04975439748276085
6506.T,2018-05-30,0.0021505376344086,-0.021748932335955422
6506.T,2019-05-29,0.003825779870512,0.017043240013376322
6506.T,2020-05-28,0.0106792717086834,-0.03271424718329321
6506.T,2021-05-27,0.0033162496231534,0.08078742195286824
6506.T,2022-05-27,0.0029868578255675,0.029060224115502527
6594.T,2018-06-21,0.0054855448480355,-0.00968972889977988
6594.T,2019-06-19,0.0073728558531447,0.011016226823645149
6594.T,2020-06-18,0.0096518987341772,0.02418544175958557
6594.T,2021-06-23,0.0070830650354153,-0.00014541432436817117
