date,symbol,split_ratio
2011-09-28,8630.T,0.25
2024-03-28,8630.T,3.0
2012-12-26,8697.T,100.0
2013-09-26,8697.T,5.0
2015-09-28,8697.T,2.0
2024-09-27,8697.T,2.0
2024-03-28,8725.T,3.0
2013-09-26,8750.T,100.0
2025-03-28,8750.T,4.0
2006-09-29,8766.T,500.0
2022-09-29,8766.T,3.0
2011-09-28,8795.T,2.0
2024-03-28,8801.T,3.0
2015-06-26,8804.T,0.5
2025-12-29,8830.T,2.0
2017-09-27,9001.T,0.2
2017-07-27,9005.T,0.5
2016-09-28,9007.T,0.5
2017-09-27,9008.T,0.2
2016-09-28,9009.T,0.5
2024-12-27,9009.T,3.0
2008-12-30,9020.T,100.0
2024-03-28,9020.T,3.0
2011-06-28,9021.T,100.0
2024-03-28,9021.T,2.0
2012-09-26,9022.T,100.0
2023-09-28,9022.T,5.0
2017-09-27,9101.T,0.1
2022-09-29,9101.T,3.0
2017-09-27,9104.T,0.1
2022-03-30,9104.T,3.0
2017-09-27,9107.T,0.1
2022-09-29,9107.T,3.0
2024-03-28,9107.T,3.0
2024-12-27,9147.T,3.0
2014-09-26,9201.T,2.0
2017-09-27,9202.T,0.1
2008-12-30,9432.T,100.0
2015-06-26,9432.T,2.0
2019-12-27,9432.T,2.0
2023-06-29,9432.T,25.0
2012-09-26,9433.T,100.0
2013-03-27,9433.T,2.0
2015-03-27,9433.T,3.0
2025-03-28,9433.T,2.0
2024-09-27,9434.T,10.0
2017-09-27,9531.T,0.2
2017-09-27,9532.T,0.2
2002-02-25,9602.T,10.0
2026-02-26,9602.T,5.0
2024-09-27,9735.T,2.0
2006-02-15,9843.T,2.0
2014-02-18,9843.T,2.0
2025-09-29,9843.T,5.0
2000-08-28,9983.T,2.0
2002-02-25,9983.T,2.0
2023-02-27,9983.T,3.0
2005-12-28,9984.T,3.0
2019-06-25,9984.T,2.0
2025-12-29,9984.T,4.0
