paper,run_id,window_start,window_end,spec,year_fe,industry_fe,nobs,r2,beta_gpt_z,se_gpt_z,p_gpt_z,beta_ln_market_cap,se_ln_market_cap,p_ln_market_cap,beta_ln_volatility,se_ln_volatility,p_ln_volatility,beta_lmmd_z,se_lmmd_z,p_lmmd_z,beta_neg_z,se_neg_z,p_neg_z,beta_pos_z,se_pos_z,p_pos_z,beta_disagreement,se_disagreement,p_disagreement
paper1,1,0,0,GPT,False,False,1086,0.00725451884533912,0.13648018944161916,0.05338011339397463,0.010565179443626133,,,,,,,,,,,,,,,,,,
paper1,1,0,0,GPT+IndFE,False,True,1086,0.05730701544679728,0.14235470919857884,0.0535045505410146,0.007799938754305035,,,,,,,,,,,,,,,,,,
paper1,1,0,0,GPT+YearFE,True,False,1086,0.01744444439386683,0.10885692452048235,0.06597249570355739,0.09893578525538346,,,,,,,,,,,,,,,,,,
paper1,1,0,0,GPT+YearFE+IndFE,True,True,1086,0.06687745668322365,0.11583164258235057,0.06414542035243774,0.07095484127105117,,,,,,,,,,,,,,,,,,
paper1,1,0,0,GPT+Controls,False,False,1086,0.008300484850162881,0.12791239149657874,0.05537103272793685,0.0208828495728423,0.012202029444804304,0.037934408212612576,0.7477093312646865,-0.12943327102760505,0.1323941361412514,0.3282543955047459,,,,,,,,,,,,
paper1,1,0,0,GPT+Controls+IndFE,False,True,1086,0.057633222000271433,0.13612761194523146,0.05553166512673071,0.014232103081296592,-0.012691715123409483,0.041483589928335236,0.7596461884891776,-0.08433792990663579,0.1287062501756904,0.5122910047717135,,,,,,,,,,,,
paper1,1,0,0,GPT+Controls+YearFE,True,False,1086,0.018470541987812616,0.10915903808345837,0.06614691543230475,0.09889153322557977,0.024117596628244267,0.03841495879703344,0.5301232749794488,0.17306995652232957,0.20053366798805178,0.38811169212210006,,,,,,,,,,,,
paper1,1,0,0,GPT+Controls+YearFE+IndFE,True,True,1086,0.06911271568807276,0.11671108114730643,0.06384488114700144,0.06754334975411742,0.0007780614112077674,0.041838517711699656,0.9851627772666031,0.28667513110326975,0.19822067003659036,0.14810923427757713,,,,,,,,,,,,
paper1,1,0,0,LMMD,False,False,1086,0.00771335049953259,,,,,,,,,,0.14073005041504136,0.0482610449565119,0.003545306439972697,,,,,,,,,
paper1,1,0,0,LMMD+IndFE,False,True,1086,0.05655372980945339,,,,,,,,,,0.14849443022913275,0.04825044458642514,0.002086913255143384,,,,,,,,,
paper1,1,0,0,LMMD+YearFE,True,False,1086,0.018326402275339104,,,,,,,,,,0.11059137858080172,0.05354517153825285,0.03888661414020535,,,,,,,,,
paper1,1,0,0,LMMD+YearFE+IndFE,True,True,1086,0.06674506565453742,,,,,,,,,,0.11356790081564747,0.0542136541049908,0.03618690807409611,,,,,,,,,
paper1,1,0,0,LMMD+Controls,False,False,1086,0.009030914433492243,,,,0.008975516918212457,0.03888300171748697,0.8174438042308831,-0.15147106105767563,0.13032391074832586,0.24512739978017806,0.13378636538861807,0.04904438817580321,0.006374610240816413,,,,,,,,,
paper1,1,0,0,LMMD+Controls+IndFE,False,True,1086,0.057335371564606774,,,,-0.018775526251039912,0.041320891550340265,0.6495529145318487,-0.12886976177008475,0.12620163669421863,0.307187279141071,0.14371911314582475,0.04955035435943621,0.0037260837781780097,,,,,,,,,
paper1,1,0,0,LMMD+Controls+YearFE,True,False,1086,0.019338824325044857,,,,0.022489823772486976,0.039436035784437454,0.5684836545087537,0.17424565401351264,0.20162986743809402,0.38748587044626537,0.11062467896289356,0.05318021885443755,0.03750859269871963,,,,,,,,,
paper1,1,0,0,LMMD+Controls+YearFE+IndFE,True,True,1086,0.06872153060781272,,,,-0.0029390018642991636,0.04214771966262424,0.9444077820418623,0.2660476422695504,0.20103575862862882,0.1857074852458952,0.11057202300981339,0.0545017814507663,0.042480892401620916,,,,,,,,,
paper1,1,0,0,GPT+LMMD,False,False,1086,0.01043548958818974,0.09283966189476366,0.05840381981445589,0.11192132860609129,,,,,,,0.10035944052263951,0.052736247137372565,0.057034700647161665,,,,,,,,,
paper1,1,0,0,GPT+LMMD+IndFE,False,True,1086,0.059592790409696006,0.10187013066272503,0.05943088164141735,0.08651142331985757,,,,,,,0.09715788024914845,0.053602022871480345,0.06989683896703253,,,,,,,,,
paper1,1,0,0,GPT+LMMD+YearFE,True,False,1086,0.01973968879219168,0.07405372374671454,0.06710471732458638,0.269786366805953,,,,,,,0.08577075014717125,0.05383145474703316,0.11108835278343877,,,,,,,,,
paper1,1,0,0,GPT+LMMD+YearFE+IndFE,True,True,1086,0.06845790808947516,0.08475105074778767,0.066217090251933,0.20058138631647027,,,,,,,0.08126806181372419,0.0550767378003832,0.14006677813819685,,,,,,,,,
