,(1),(2),(3)
GPT (z),0.1756*,,0.0903
 ,(0.1046),,(0.1056)
LMMD (z),,0.2577**,0.2231**
 ,,(0.1029),(0.1042)
Log Market Cap,0.0194,0.0101,0.0109
 ,(0.0620),(0.0605),(0.0609)
Return Volatility,0.5739*,0.5282,0.5361
 ,(0.3403),(0.3392),(0.3393)
Year FE,Yes,Yes,Yes
Industry FE,Yes,Yes,Yes
N,1086,1086,1086
R²,0.083,0.086,0.087
