,(1),(2)
Disagreement,-0.0003,0.0010
 ,(0.0007),(0.0009)
LMMD (z),,0.0026**
 ,,(0.0011)
Year FE,Yes,Yes
Industry FE,Yes,Yes
Controls,Yes,Yes
N,1086,1086
R²,0.083,0.091
