Ticker,EventDate,Sentiment,CAR
4151.T,2018-03-16,0.0140073081607795,0.02118822458749246
4151.T,2019-03-14,0.0161659046374918,0.03318006121666476
4151.T,2020-03-12,0.01524926686217,-0.13017880995083508
4151.T,2021-03-09,0.0181651376146789,0.0017788723592658297
4151.T,2022-03-08,0.0159326888650196,-0.008754690404055996
4151.T,2023-03-09,0.0170925706549331,0.009262092272593125
4502.T,2018-06-28,0.0114517265680056,0.046618120727277536
4502.T,2019-06-27,0.0081203575475261,-0.0056929093989932025
4502.T,2020-06-24,0.0080256821829855,-0.011732641744491693
4502.T,2021-06-29,0.0081222883664615,0.0037229113607989105
4502.T,2022-06-29,0.0094830389075539,0.02270483529324275
4503.T,2018-06-15,0.0097087378640776,0.044050144585454684
4503.T,2019-06-18,0.0135206786850477,-0.01766949294366636
4503.T,2020-06-18,0.0118770978569584,0.04982281423842068
4503.T,2021-06-18,0.012935586061246,0.044900693231773287
4503.T,2022-06-20,0.0124688279301745,0.07219219023823645
4506.T,2018-06-19,0.0129248444231689,0.0462740513261551
4506.T,2019-06-20,0.0155670867309117,-0.03862107543925468
4506.T,2020-06-23,0.0155053974484789,0.026979719725793477
4506.T,2021-06-24,0.0171255148493388,0.018296978716879755
4506.T,2022-06-23,0.0177677677677677,0.03979837096514908
4507.T,2018-06-20,0.0099173553719008,0.006546652396749249
4507.T,2019-06-18,0.0084187408491947,0.01834428918003769
4507.T,2020-06-24,0.0102639296187683,-0.003581210873208871
4507.T,2021-06-23,0.0158631415241057,0.02164427853201779
4507.T,2022-06-24,0.0196439533456108,0.011354420222162452
4519.T,2018-03-22,0.0058997050147492,0.003527354160317294
4519.T,2019-03-28,0.0155829165063485,0.001077407427452647
4519.T,2020-03-30,0.0149080348499515,0.03316474181010067
4519.T,2021-03-23,0.0141106572595618,-0.02867018791855666
4519.T,2022-03-29,0.016025641025641,-0.007547755886414381
4519.T,2023-03-30,0.0147424511545293,-4.418878882472832e-06
4523.T,2018-06-20,0.0138678769541099,0.017969024118423927
4523.T,2019-06-20,0.0161933233682112,-0.011949498368601819
4523.T,2020-06-19,0.0154819014391626,0.03699629827378711
4523.T,2021-06-18,0.0153919014918304,0.1316066710269693
4568.T,2018-06-18,0.0127821593690508,0.15428353288793498
4568.T,2019-06-17,0.0123069498069498,-0.029419223611218202
4568.T,2020-06-15,0.0139294926913155,-0.013797126913473165
4568.T,2021-06-21,0.0132703144882748,-0.059923718509266095
4568.T,2022-06-27,0.0164638511095204,0.07881354438570307
4578.T,2018-03-30,0.0092753623188405,0.019075890328810165
4578.T,2019-03-29,0.0123203285420944,-0.01584155781405236
4578.T,2020-03-30,0.0112185018985157,0.10821295896178386
4578.T,2021-03-31,0.0131556171023022,-0.007606388735217682
4578.T,2022-03-31,0.01287932251235,0.006823931604920152
4578.T,2023-03-31,0.0132473418162802,0.04029148751112258
6479.T,2018-06-28,0.0146673651126244,0.05130033883633143
6479.T,2019-06-27,0.0169238427078148,0.04588480441940668
6479.T,2020-06-26,0.0104810534802472,0.004141190224716934
6479.T,2021-06-29,0.0118243243243243,0.05962111556470542
6479.T,2022-06-29,0.0142857142857142,-0.009959048969640366
6501.T,2018-06-29,0.0161233788994041,-0.0054722313633684926
6501.T,2019-06-19,0.0144685587089593,-0.0136009345338942
6501.T,2020-08-31,0.0131809168319141,-0.01744904411423697
6501.T,2021-06-23,0.0128427629295383,0.04568385601971048
6501.T,2022-06-22,0.0139927623642943,-0.036102588376338854
6503.T,2018-06-28,0.0112251443232841,0.009603045112561246
6503.T,2019-06-27,0.0088195386702849,0.03090799087521701
6503.T,2020-06-26,0.0095641266854813,0.015579734554728957
6503.T,2021-06-29,0.0092909535452322,-0.09890954429827573
6503.T,2022-06-29,0.0096049573973663,0.01600587910736656
6504.T,2018-06-26,0.0056270096463022,0.009254617013742455
6504.T,2019-06-25,0.0076882290562036,-0.012492570715572703
6504.T,2020-08-06,0.0057339449541284,0.0020854987387263803
6504.T,2021-06-25,0.0067724458204334,-0.01466947025103162
6504.T,2022-06-28,0.0070295240008033,-0.017629401924988197
6506.T,2018-05-30,0.0043010752688172,-0.013522940297058894
6506.T,2019-05-29,0.0064743967039434,-0.004191624392063869
6506.T,2020-05-28,0.0143557422969187,-0.04033829060010386
6506.T,2021-05-27,0.0183901115465782,0.05858075453899317
6506.T,2022-05-27,0.0161290322580645,0.006817018939769812
6594.T,2018-06-21,0.0078576723498888,-0.02377553648327002
6594.T,2019-06-19,0.0073728558531447,0.0021508280357780026
6594.T,2020-06-18,0.0080696202531645,0.02531509560584224
6594.T,2021-06-23,0.0109465550547327,0.04539253114379966
6594.T,2022-06-20,0.0096512021672875,-0.03842640735326058
6645.T,2018-06-20,0.0103424500114916,-0.041387570928169415
6645.T,2019-06-19,0.0094876660341555,0.008047515789817928
6645.T,2020-06-24,0.0099676052828308,0.0212147009093277
6645.T,2021-06-25,0.0149503397804495,0.01290157054838471
6645.T,2022-06-24,0.013164455968884,0.010583578402695012
6674.T,2018-06-28,0.0095081967213114,0.038077008940551986
6674.T,2019-06-27,0.0091324200913242,0.032658721946928135
6674.T,2020-06-26,0.0082735797021511,0.053913556826019206
6674.T,2021-06-29,0.0083772882407694,0.007952405730063197
6674.T,2022-06-29,0.0075311067452521,0.01798566578978531
6701.T,2018-06-25,0.0155057839035195,-0.031011392564021703
6701.T,2019-06-24,0.0132241813602015,-0.028885118753173154
6701.T,2020-06-24,0.0199705696867773,0.05004726200609426
6701.T,2021-06-22,0.0182709447415329,-0.021951425073894797
6701.T,2022-06-22,0.0151220565996975,0.002629862264126124
6702.T,2018-06-25,0.01428339555267,-0.01788429989443958
6702.T,2019-06-24,0.0141900937081659,-0.032217387714681106
6702.T,2020-06-22,0.017294811556533,0.05751584233199085
6702.T,2021-06-28,0.0202437512910555,0.029718752019201235
6702.T,2022-06-27,0.0177704497572593,0.016286570825299346
6723.T,2018-03-29,0.0042408821034775,-0.1070685363678195
6723.T,2019-03-28,0.0108606557377049,0.07271930997678534
6723.T,2020-03-27,0.0113937466878643,0.02036990788154538
6723.T,2021-03-31,0.0116423086450334,0.04547441822274013
6723.T,2022-03-30,0.0121087502855837,0.07547513552926603
6724.T,2019-06-27,0.0170421721548238,-0.014860221533105348
6724.T,2020-06-26,0.0151824817518248,-0.03729279872428505
6724.T,2021-06-28,0.0149415919587068,-0.007800071954293759
6724.T,2022-06-29,0.0150954144118484,-0.0817712709374478
6752.T,2018-06-29,0.0073810825587752,-0.012779017605071446
6752.T,2019-06-28,0.0077734591893392,0.02563345016815782
6752.T,2020-06-26,0.0060642813826561,0.0015221990044340886
6752.T,2022-06-24,0.0076655052264808,-0.024347745290590736
6753.T,2018-06-21,0.0109232769830949,-0.08075709559796981
6753.T,2019-06-26,0.0108821486455197,0.06650863183669632
6753.T,2020-06-30,0.0104895104895104,-0.0362744695395428
6753.T,2021-06-30,0.0107302533532041,0.0010510661230308527
6753.T,2022-06-24,0.0115036976170912,-0.05348308231232467
6758.T,2018-06-19,0.0061890472618154,0.03007172938092034
6758.T,2019-06-18,0.0063746165644171,0.062032278493814576
6758.T,2020-06-26,0.0056165432729129,0.0013231557459914972
6758.T,2022-06-28,0.0093234520678938,-0.04953238476875305
6762.T,2018-06-28,0.0074270557029177,0.04641910215209218
6762.T,2019-06-27,0.008079324274697,0.07685159970725176
