sentiment_col,window_start,window_end,nobs,beta,se_cluster,p_value,r2
pos_rate,-3,3,1087,0.002042231437144456,0.0012659612277095263,0.10670401694715745,0.0025724383474242662
pos_rate,-2,2,1087,0.002299392525086263,0.0009996521594394217,0.02143730944776955,0.0049104339316089485
pos_rate,-1,1,1087,0.0015930168342697584,0.0007522614701879049,0.03420580956748678,0.003412195998036105
pos_rate,0,0,1087,0.000687504551495142,0.00046369723994045694,0.13816522479521715,0.0018539859208976939
pos_rate,0,1,1087,0.0012712234946582806,0.0006421381543863983,0.04774029693586062,0.0034317736757546458
