Ticker,EventDate,Sentiment,CAR
4151.T,2018-03-16,0.0042630937880633,0.0044348411293104895
4151.T,2019-03-14,0.0091443500979751,0.012435946883685897
4151.T,2020-03-12,0.0082111436950146,-0.0398833557905607
4151.T,2021-03-09,0.010091743119266,-0.023215624480471007
4151.T,2022-03-08,0.0091299677765843,0.011246015365450937
4151.T,2023-03-09,0.0101540023692672,0.002488684265999178
4502.T,2018-06-28,-0.0065186751233262,0.05803014314695011
4502.T,2019-06-27,-0.0053506231902303,-0.012575039132508348
4502.T,2020-06-24,-0.0062065275548421,-0.008110502400851278
4502.T,2021-06-29,-0.0051457975986277,0.0009344903493700716
4502.T,2022-06-29,-0.0040099707380513,0.01786400026794218
4503.T,2018-06-15,0.0,0.03048343382209106
4503.T,2019-06-18,0.0037115588547189,0.022047874077905913
4503.T,2020-06-18,0.0046475600309837,-0.0031072171684388902
4503.T,2021-06-18,0.0039598732840549,0.006601342742276041
4503.T,2022-06-20,0.0047381546134663,0.02574413215303134
4506.T,2018-06-19,0.0038295835327908,0.01866938234737802
4506.T,2019-06-20,-0.0004941932295527,-0.02724193982645564
4506.T,2020-06-23,0.0074582924435721,0.022306612496363586
4506.T,2021-06-24,0.0058530240624322,0.013190319658644225
4506.T,2022-06-23,0.0075075075075075,0.031669402248577366
4507.T,2018-06-20,0.0066115702479338,0.008828212280162142
4507.T,2019-06-18,0.0014641288433382,0.003916236465615057
4507.T,2020-06-24,0.0012218963831867,-0.016530996228627023
4507.T,2021-06-23,0.0102643856920684,0.0014621303620312234
4507.T,2022-06-24,0.0135052179251074,0.03945240176137989
4519.T,2018-03-22,-0.0029498525073746,0.007336118404507694
4519.T,2019-03-28,0.009234320892651,-0.003225873321607179
4519.T,2020-03-30,0.0085188770571151,0.10562664707767006
4519.T,2021-03-23,0.0072409951726698,-0.008627484413547517
4519.T,2022-03-29,0.0116185897435897,0.007594396691652032
4519.T,2023-03-30,0.0095914742451154,-0.008008235740051228
4523.T,2018-06-20,0.0063035804336863,0.00929848078327874
4523.T,2019-06-20,0.010214250124564,-0.01620444298702388
4523.T,2020-06-19,0.0104666375926733,-0.0026261390985440744
4523.T,2021-06-18,0.0092351408950982,0.09267791925720774
4568.T,2018-06-18,0.0048952950775088,0.023872542247743996
4568.T,2019-06-17,0.0036196911196911,0.03012035140465969
4568.T,2020-06-15,0.0091143594153052,-0.004482910017166129
4568.T,2021-06-21,0.0067260498091256,0.0010342553544887174
4568.T,2022-06-27,0.0116320687186828,0.011372529363386738
4578.T,2018-03-30,-0.0034782608695652,0.00018487060734684833
4578.T,2019-03-29,0.0011978097193702,-0.0015497370478135247
4578.T,2020-03-30,0.0020711080428028,0.059927940111408916
4578.T,2021-03-31,0.0008655011251514,-0.00772284464921353
4578.T,2022-03-31,0.0051164431898376,-0.002084556264291613
4578.T,2023-03-31,0.0040090639707164,-0.009772362034924664
6479.T,2018-06-28,0.0123101100052383,0.00770944185859505
6479.T,2019-06-27,0.0104529616724738,0.02848791212848216
6479.T,2020-06-26,0.0042999193765116,-0.005729049981502884
6479.T,2021-06-29,0.0050675675675675,0.04934629016434032
6479.T,2022-06-29,0.0088145896656534,-0.017093691012439894
6501.T,2018-06-29,0.0047318611987381,0.018627997971589105
6501.T,2019-06-19,-0.0012984603969578,-0.013792176209974558
6501.T,2020-08-31,-0.0027994867607605,-0.03113024680074806
6501.T,2021-06-23,-0.0015041073701261,-0.008571550782490216
6501.T,2022-06-22,0.0014475271411338,-0.009301275049061074
6503.T,2018-06-28,0.0035279025016035,0.02584135753159015
6503.T,2019-06-27,-0.0030529172320217,0.0024185695257861496
6503.T,2020-06-26,-0.0037629350893697,0.002385008154578939
6503.T,2021-06-29,-0.0074979625101874,-0.01483321218249351
6503.T,2022-06-29,-0.0021688613477924,0.0032909745314775567
6504.T,2018-06-26,-0.0053590568060021,-0.015126414275851067
6504.T,2019-06-25,-0.0021208907741251,-0.005348292916632554
6504.T,2020-08-06,-0.0133792048929663,0.00608603822370095
6504.T,2021-06-25,-0.0119969040247678,-0.019398526644539418
6504.T,2022-06-28,-0.0072303675436834,-8.904433396515407e-06
6506.T,2018-05-30,0.0021505376344086,0.0033213401090467047
6506.T,2019-05-29,0.0026486168334314,0.01609572513148908
6506.T,2020-05-28,0.0036764705882352,-0.034914296564211474
6506.T,2021-05-27,0.0150738619234247,0.03964002818557413
6506.T,2022-05-27,0.013142174432497,0.030690407582849626
6594.T,2018-06-21,0.0023721275018532,0.003772709736917473
6594.T,2019-06-19,0.0,0.02149375976258037
6594.T,2020-06-18,-0.0015822784810126,0.008502188943798384
6594.T,2021-06-23,0.0038634900193174,0.00728020004827046
6594.T,2022-06-20,0.0040636640704368,-0.022160022209183082
6645.T,2018-06-20,0.0073546311192829,-0.006184673279789432
6645.T,2019-06-19,0.0035578747628083,0.03214843235037271
6645.T,2020-06-24,0.0022427111886369,0.01821295027383763
6645.T,2021-06-25,0.0071092524830109,0.012434231996574877
6645.T,2022-06-24,0.006283035803331,0.038883015624892506
6674.T,2018-06-28,0.001967213114754,0.02246769088466897
6674.T,2019-06-27,-0.0003044140030441,-0.0018988313523674548
6674.T,2020-06-26,-0.0035852178709321,-0.0036680747217403727
6674.T,2021-06-29,-0.0021718895439031,-0.012168214814946395
6674.T,2022-06-29,-0.0022920759659463,0.002291199145295783
6701.T,2018-06-25,0.0098449421609648,0.0015409441754650807
6701.T,2019-06-24,0.0031486146095717,0.01883445237227486
6701.T,2020-06-24,0.0161866722724406,0.028360448826703785
6701.T,2021-06-22,0.0082442067736185,-0.026882985008958662
6701.T,2022-06-22,0.0038885288399222,0.002966444437874029
6702.T,2018-06-25,0.0064924525239409,-0.0015711660482294974
6702.T,2019-06-24,0.0047300312360553,0.01273223538668416
6702.T,2020-06-22,0.0098970308907327,0.01866677733346313
6702.T,2021-06-28,0.0163189423672794,0.028752425265219116
6702.T,2022-06-27,0.0121828341119355,-0.017142007321807467
6723.T,2018-03-29,-0.0059372349448685,-0.0023152068499521384
6723.T,2019-03-28,0.0012295081967213,-0.03126272268620515
6723.T,2020-03-27,0.0039745627980922,-0.0655650878294583
6723.T,2021-03-31,0.0054495912806539,0.04943394414035546
6723.T,2022-03-30,0.0100525474068997,0.054354157318895924
6724.T,2019-06-27,0.0060658578856152,-0.004676923317969193
6724.T,2020-06-26,0.0061313868613138,-0.03977864623664554
6724.T,2021-06-28,0.0032599837000814,-0.013493332729536001
6724.T,2022-06-29,0.0082597550555397,-0.02793957794524622
6752.T,2018-06-29,0.0019136139967195,0.019432470323113356
6752.T,2019-06-28,-0.0049972237645752,0.005245190616492633
6752.T,2020-06-26,-0.0060642813826561,-0.006676041638484153
6752.T,2022-06-24,-0.0011614401858304,-0.004904142918439446
6753.T,2018-06-21,0.0083224967490247,-0.017290669033287215
6753.T,2019-06-26,0.0053253067839777,0.020537710908256103
6753.T,2020-06-30,-0.002039627039627,0.0161410064682845
6753.T,2021-06-30,0.0017883755588673,0.019687587697534772
6753.T,2022-06-24,0.0016433853738701,-0.0001121280433371806
6758.T,2018-06-19,-0.0071267816954238,0.01899092252498104
6758.T,2019-06-18,-0.0072373466257668,0.005229162501136402
6758.T,2020-06-26,-0.0087226619011147,-0.024614152986700267
6758.T,2022-06-28,-0.0011355486492947,-0.006696101913119149
6762.T,2018-06-28,-0.001945181255526,0.00309977566857389
6762.T,2019-06-27,-0.0036724201248622,0.02769466912450318
6762.T,2020-06-23,-0.0047954866008462,0.013681477648953493
6762.T,2021-06-23,-0.0005782017924255,-0.0042172030059829885
6762.T,2022-06-24,0.006924582267048,0.011768416780916238
6770.T,2018-06-22,0.0016339869281045,0.0021115251221474757
6770.T,2019-06-21,-0.0043512658227848,0.011670049165512153
6770.T,2020-06-24,-0.0097419244573577,0.007415204399327361
6770.T,2021-06-25,-0.0063829787234042,-0.0015591844176748725
6770.T,2022-06-23,-0.0089032013638946,-0.004387131296414651
6841.T,2018-06-26,0.00976290097629,0.02729340781821728
6841.T,2019-06-25,0.0048908954100827,-0.029023950880337067
6841.T,2020-06-24,0.0014413375612568,-0.002388990860497965
6841.T,2021-06-23,0.0034207525655644,-0.001664629797079948
6841.T,2022-06-22,0.0035799522673031,-0.008907579085454434
6857.T,2018-06-28,0.0064535054268113,0.031127836540675864
6857.T,2019-06-27,0.0101981351981351,0.04648108826739629
