Ticker,EventDate,Sentiment,CAR
4151.T,2018-03-16,0.0097442143727162,0.0020108035900206333
4151.T,2019-03-14,0.0070215545395166,0.02721879873553109
4151.T,2020-03-12,0.0070381231671554,-0.03952492285745197
4151.T,2021-03-09,0.0080733944954128,0.0015235848263257306
4151.T,2022-03-08,0.0068027210884353,0.01867238106999413
4151.T,2023-03-09,0.0069385682856659,0.010516924655878227
4502.T,2018-06-28,0.0179704016913319,0.03978273087913598
4502.T,2019-06-27,0.0134709807377565,0.005123391284075873
4502.T,2020-06-24,0.0142322097378277,-0.01724798505486628
4502.T,2021-06-29,0.0132680859650892,-0.0032110331412066664
4502.T,2022-06-29,0.0134930096456052,0.017502408480641957
4503.T,2018-06-15,0.0097087378640776,0.032286098726806836
4503.T,2019-06-18,0.0098091198303287,0.01331905728139124
4503.T,2020-06-18,0.0072295378259746,-0.005914097214519166
4503.T,2021-06-18,0.0089757127771911,0.0051897067680676656
4503.T,2022-06-20,0.0077306733167082,0.02299445858014696
4506.T,2018-06-19,0.0090952608903781,0.030294058419775657
4506.T,2019-06-20,0.0160612799604645,-0.02241462456368801
4506.T,2020-06-23,0.0080471050049067,0.025006700261506167
4506.T,2021-06-24,0.0112724907869065,0.032248211315665076
4506.T,2022-06-23,0.0102602602602602,0.023726723000779736
4507.T,2018-06-20,0.0033057851239669,-0.00031791939559419786
4507.T,2019-06-18,0.0069546120058565,-0.006878382530695299
4507.T,2020-06-24,0.0090420332355816,-0.026179336343479805
4507.T,2021-06-23,0.0055987558320373,0.005807353912493256
4507.T,2022-06-24,0.0061387354205033,-0.01594404371103998
4519.T,2018-03-22,0.0088495575221238,0.007336118404507694
4519.T,2019-03-28,0.0063485956136975,0.015961713675221877
4519.T,2020-03-30,0.0063891577928363,0.10086591587681634
4519.T,2021-03-23,0.0068696620868919,-0.023286357910238222
4519.T,2022-03-29,0.0044070512820512,0.006466590549902528
4519.T,2023-03-30,0.0051509769094138,-0.015603273323475622
4523.T,2018-06-20,0.0075642965204236,0.008720046094023598
4523.T,2019-06-20,0.0059790732436472,-0.00035403805546627143
4523.T,2020-06-19,0.0050152638464893,0.00029652854326718504
4523.T,2021-06-18,0.0061567605967321,0.11171683569452949
4568.T,2018-06-18,0.007886864291542,0.059612182391653196
4568.T,2019-06-17,0.0086872586872586,0.01987258243609674
4568.T,2020-06-15,0.0048151332760103,0.016339310800307205
4568.T,2021-06-21,0.0065442646791492,-0.008749662603779504
4568.T,2022-06-27,0.0048317823908375,0.02606077360751872
4578.T,2018-03-30,0.0127536231884057,-0.002682143813030286
4578.T,2019-03-29,0.0111225188227241,-0.014253101955504107
4578.T,2020-03-30,0.0091473938557128,0.11225965131052396
4578.T,2021-03-31,0.0122901159771507,-0.011025157021010494
4578.T,2022-03-31,0.0077628793225123,0.007224088026466005
4578.T,2023-03-31,0.0092382778455638,-0.012389027875608792
6479.T,2018-06-28,0.002357255107386,-0.00973777091623415
6479.T,2019-06-27,0.0064708810353409,0.0487126246291671
6479.T,2020-06-26,0.0061811341037355,0.0019098619412693408
6479.T,2021-06-29,0.0067567567567567,0.046265392110020134
6479.T,2022-06-29,0.0054711246200607,-0.029608625132010437
6501.T,2018-06-29,0.0113915177006659,0.026613972519371466
6501.T,2019-06-19,0.0157670191059172,-0.018720107235346412
6501.T,2020-08-31,0.0159804035926746,-0.02498719608816323
6501.T,2021-06-23,0.0143468702996644,0.010869733678138573
6501.T,2022-06-22,0.0125452352231604,-0.021809465186747763
6503.T,2018-06-28,0.0076972418216805,0.027010391309450675
6503.T,2019-06-27,0.0118724559023066,0.007025411943586949
6503.T,2020-06-26,0.013327061774851,0.0011084640353797252
6503.T,2021-06-29,0.0167889160554197,-0.028897493932737592
6503.T,2022-06-29,0.0117738187451587,-0.006567319846732516
6504.T,2018-06-26,0.0109860664523043,-0.005080956790366853
6504.T,2019-06-25,0.0098091198303287,-0.0004938894987992111
6504.T,2020-08-06,0.0191131498470948,-0.002017748529661077
6504.T,2021-06-25,0.0187693498452012,-0.012695387124317333
6504.T,2022-06-28,0.0142598915444868,0.033946998783766946
6506.T,2018-05-30,0.0021505376344086,-0.008904018150489372
6506.T,2019-05-29,0.003825779870512,0.03427378837194705
6506.T,2020-05-28,0.0106792717086834,-0.03703327140708698
6506.T,2021-05-27,0.0033162496231534,0.04779370205000772
6506.T,2022-05-27,0.0029868578255675,0.019152107182524546
6594.T,2018-06-21,0.0054855448480355,-0.00824941089387415
6594.T,2019-06-19,0.0073728558531447,0.01669085721158079
6594.T,2020-06-18,0.0096518987341772,0.006052936685413033
6594.T,2021-06-23,0.0070830650354153,0.0030726857518590346
6594.T,2022-06-20,0.0055875380968506,-0.017589596957705858
6645.T,2018-06-20,0.0029878188922086,0.005113394501866289
6645.T,2019-06-19,0.0059297912713472,0.03521821733190038
6645.T,2020-06-24,0.0077248940941938,0.023543473566281274
6645.T,2021-06-25,0.0078410872974385,0.00567890153769799
6645.T,2022-06-24,0.006881420165553,0.03930517656722003
6674.T,2018-06-28,0.0075409836065573,0.02824158927223323
6674.T,2019-06-27,0.0094368340943683,0.012048657799886958
6674.T,2020-06-26,0.0118587975730832,-0.033659153506521974
6674.T,2021-06-29,0.0105491777846726,0.004096785187585841
6674.T,2022-06-29,0.0098231827111984,-0.010551408695368025
6701.T,2018-06-25,0.0056608417425547,0.0009007480727266926
6701.T,2019-06-24,0.0100755667506297,0.005026230205915876
6701.T,2020-06-24,0.0037838974143367,0.032564526297673126
6701.T,2021-06-22,0.0100267379679144,-0.01830828688849633
6701.T,2022-06-22,0.0112335277597753,0.014108330689648212
6702.T,2018-06-25,0.0077909430287291,0.008845894567809562
6702.T,2019-06-24,0.0094600624721106,0.009744263992569205
6702.T,2020-06-22,0.0073977806658002,0.00602117267402584
6702.T,2021-06-28,0.003924808923776,0.03312152336858159
6702.T,2022-06-27,0.0055876156453238,0.004962878098987867
6723.T,2018-03-29,0.010178117048346,-0.030239020491469478
6723.T,2019-03-28,0.0096311475409836,-0.01971028736968382
6723.T,2020-03-27,0.0074191838897721,-0.10536596726866752
6723.T,2021-03-31,0.0061927173643794,0.0562139821501332
6723.T,2022-03-30,0.002056202878684,0.05278270496254671
6724.T,2019-06-27,0.0109763142692085,-0.005471520273716384
6724.T,2020-06-26,0.0090510948905109,-0.07741424812048722
6724.T,2021-06-28,0.0116816082586253,-0.0076998859285466875
6724.T,2022-06-29,0.0068356593563087,-0.03595654999811173
6752.T,2018-06-29,0.0054674685620557,0.03019418198252702
6752.T,2019-06-28,0.0127706829539144,0.006975280223787024
6752.T,2020-06-26,0.0121285627653123,-0.031202696783862956
6752.T,2022-06-24,0.0088269454123112,-0.013398911066390812
6753.T,2018-06-21,0.0026007802340702,-0.016573995931600492
6753.T,2019-06-26,0.005556841861542,0.02098548282569433
6753.T,2020-06-30,0.0125291375291375,-0.006805766063458056
6753.T,2021-06-30,0.0089418777943368,0.014799324849079417
6753.T,2022-06-24,0.009860312243221,-0.010854936237877451
6758.T,2018-06-19,0.0133158289572393,0.013562987214637714
6758.T,2019-06-18,0.013611963190184,0.03453879546863459
6758.T,2020-06-26,0.0143392051740277,-0.024475340237247026
6758.T,2022-06-28,0.0104590007171886,0.0029035779768605587
6762.T,2018-06-28,0.0093722369584438,-0.0029381151004202054
6762.T,2019-06-27,0.0117517443995593,0.05978442651040916
6762.T,2020-06-23,0.0149506346967559,0.013673869062424064
6762.T,2021-06-23,0.0119976871928302,-0.03608426661445012
6762.T,2022-06-24,0.0073761854583772,0.01319501029882391
6770.T,2018-06-22,0.0095996732026143,-0.012585147927273024
6770.T,2019-06-21,0.0126582278481012,-0.016055120602700326
6770.T,2020-06-24,0.0157238078960861,0.024153308428191782
6770.T,2021-06-25,0.0145390070921985,0.008551607978546419
6770.T,2022-06-23,0.0151543853002462,-0.008710296454793317
6841.T,2018-06-26,0.0066248256624825,0.03176585405783891
6841.T,2019-06-25,0.0048908954100827,-0.02506995139071152
6841.T,2020-06-24,0.0066301527817814,0.004290618234298535
6841.T,2021-06-23,0.0057012542759407,-0.01173255514621686
6841.T,2022-06-22,0.0035799522673031,0.001870762078823824
6857.T,2018-06-28,0.005866823115283,0.01666328784807361
6857.T,2019-06-27,0.004079254079254,0.0880077335510849
6857.T,2020-06-26,0.0124159337816864,0.024824844847491728
6857.T,2021-06-24,0.0057715674362089,0.00783297040443887
6857.T,2022-06-22,0.0053025577043044,-0.029010422570679796
6861.T,2018-06-14,0.0,-0.0007897894732095852
6861.T,2019-06-17,0.0053956834532374,0.00544450044572301
6861.T,2020-06-15,0.0074116305587229,-0.023990402399461624
6861.T,2021-06-14,0.004524886877828,0.043054487540626296
6861.T,2022-06-13,0.0017311021350259,-0.020054318832899164
6902.T,2018-06-20,0.0074733096085409,0.014760818151188352
6902.T,2019-06-26,0.0085470085470085,0.008493339737426327
6902.T,2020-06-19,0.0090534979423868,-0.01568541924115879
6902.T,2021-06-22,0.0076335877862595,0.02356636945881122
6902.T,2022-06-21,0.0111986727498963,-0.006477983770899034
6920.T,2018-09-27,0.0030160857908847,-0.01256205883537783
6920.T,2019-09-30,0.0031859816806053,0.03176693273527772
6920.T,2020-09-29,0.0046136101499423,0.004313944744579596
6920.T,2021-09-29,0.0026912725874663,-0.04433149159245518
6920.T,2022-09-29,0.0038417210910487,-0.07745974521063545
6952.T,2018-06-28,0.006111894687353,0.0046748506629045216
6952.T,2019-06-27,0.0086027884900622,-0.010933058524766826
6952.T,2020-06-26,0.0090540118638776,-0.033181053354240944
6952.T,2021-06-29,0.0083179297597042,-0.038253459743195446
6952.T,2022-06-29,0.0083762886597938,0.008516859322320398
6954.T,2018-06-29,0.0015467904098994,0.013054098140026227
6954.T,2019-06-28,0.0076628352490421,0.0044028433125778785
6954.T,2020-06-30,0.0139811254806011,0.017043882107029548
6954.T,2021-06-30,0.0098697196999605,0.01700064444490222
6954.T,2022-06-30,0.0085076214108472,-0.011377046267542431
6963.T,2018-06-28,0.0029498525073746,0.0044524952577412605
6963.T,2019-06-27,0.00859401856308,0.06975911253125272
6963.T,2020-06-26,0.0124389160373167,-0.0060962768395894824
6963.T,2021-06-25,0.0104332048083465,-0.013990827106585285
